full_original_html,original_row_id,marked_for_review,remarks,allen_issue,gpt_issue,labelled_html,full_error_html,List_of_names,processed_html
"<div style=""text-align:justify"">Consider a one-dimensional collision where a body of mass m<sub>1</sub> originally moving in the positive x direction with speed v<sub>0</sub> collides with a second body of mass m<sub>2</sub> originally at rest. After the collision, m<sub>1</sub> moves with velocity <img alt=""{\vec v_1}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1508992745988678404.png""/> , while m<sub>2</sub> moves with velocity <img alt=""{\vec v_2}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15089927581587409521.png""/> . If m<sub>1</sub> &gt; m<sub>2</sub>, then (Consider all possible cases)</div>
<br/><br/><br/><img alt=""{v_0} &lt; {v_1} &lt; {v_2}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15089927761986657229.png""/><br/><img alt=""{v_2} &lt; {v_1} &lt; {v_0}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15089927811280387069.png""/><br/><img alt=""\frac{{{v_0}}}{2} &lt; {v_2} &lt; {v_0}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15089927901571522823.png""/><br/><img alt=""\frac{{{v_0}}}{2} &lt; {v_2} &lt; 2{v_0}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1508992797417505945.png""/>",3665,0,,False,False,"<div style=""text-align:justify"">Consider a one-dimensional collision where a body of mass [EXP]m<sub>1</sub>[/EXP] originally moving in the positive x direction with speed [EXP]v<sub>0</sub>[/EXP] collides with a second body of mass [EXP]m<sub>2</sub>[/EXP] originally at rest. After the collision, [EXP]m<sub>1</sub>[/EXP] moves with velocity <img alt=""{\vec v_1}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1508992745988678404.png""/> , while [EXP]m<sub>2</sub>[/EXP] moves with velocity <img alt=""{\vec v_2}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15089927581587409521.png""/> . If [EXP]m<sub>1</sub> &gt; m<sub>2</sub>[/EXP], then (Consider all possible cases)</div>
<br/><br/><br/><img alt=""{v_0} &lt; {v_1} &lt; {v_2}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15089927761986657229.png""/><br/><img alt=""{v_2} &lt; {v_1} &lt; {v_0}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15089927811280387069.png""/><br/><img alt=""\frac{{{v_0}}}{2} &lt; {v_2} &lt; {v_0}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15089927901571522823.png""/><br/><img alt=""\frac{{{v_0}}}{2} &lt; {v_2} &lt; 2{v_0}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1508992797417505945.png""/>","<div style=""text-align:justify"">Consider a one-dimensional collision where a body of mass [EXP]m<sub>1</sub>[/EXP] originally moving in the positive x direction with speed [EXP]v<sub>0</sub>[/EXP] collides with a second body of mass [EXP]m<sub>2</sub>[/EXP] originally at rest. After the collision, [EXP]m<sub>1</sub>[/EXP] moves with velocity <img alt=""{\vec v_1}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1508992745988678404.png""/> , while [EXP]m<sub>2</sub>[/EXP] moves with velocity <img alt=""{\vec v_2}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15089927581587409521.png""/> . If [EXP]m<sub>1</sub> &gt; m<sub>2</sub>[/EXP], then (Consider all possible cases)</div>
<br/><br/><br/><img alt=""{v_0} &lt; {v_1} &lt; {v_2}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15089927761986657229.png""/><br/><img alt=""{v_2} &lt; {v_1} &lt; {v_0}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15089927811280387069.png""/><br/><img alt=""\frac{{{v_0}}}{2} &lt; {v_2} &lt; {v_0}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15089927901571522823.png""/><br/><img alt=""\frac{{{v_0}}}{2} &lt; {v_2} &lt; 2{v_0}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1508992797417505945.png""/>","[""m1"", ""m2""]","<div style=""text-align:justify"">Consider a one-dimensional collision where a body of mass [EXP]m<sub>1</sub>[/EXP] originally moving in the positive [EXP]x[/EXP]direction with speed [EXP]v<sub>0</sub>[/EXP] collides with a second body of mass [EXP]m<sub>2</sub>[/EXP] originally at rest. After the collision, [EXP]m<sub>1</sub>[/EXP] moves with velocity <img alt=""{\vec v_1}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1508992745988678404.png""/> , while [EXP]m<sub>2</sub>[/EXP] moves with velocity <img alt=""{\vec v_2}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15089927581587409521.png""/> . If [EXP]m<sub>1</sub> &gt; m<sub>2</sub>[/EXP], then (Consider all possible cases)</div>
<br/><br/><br/><img alt=""{v_0} &lt; {v_1} &lt; {v_2}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15089927761986657229.png""/><br/><img alt=""{v_2} &lt; {v_1} &lt; {v_0}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15089927811280387069.png""/><br/><img alt=""\frac{{{v_0}}}{2} &lt; {v_2} &lt; {v_0}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15089927901571522823.png""/><br/><img alt=""\frac{{{v_0}}}{2} &lt; {v_2} &lt; 2{v_0}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1508992797417505945.png""/>"
"<div style=""text-align:justify"">Two stones A and B are projected simultaneously as shown in figure. It has been observed that both the stones reach the ground at the same place after 7 sec of their projection. Determine difference in their vertical components of initial velocities in m/s. (g = 9.8 m/s<sup>2</sup>)</div>
<div style=""text-align:center""><img alt=""Image not present"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/ported_image0671024519578.png"" style=""height:240px; vertical-align:middle; width:250px""/></div>
<br/><br/>",1982,0,,False,False,"<div style=""text-align:justify"">Two stones A and B are projected simultaneously as shown in figure. It has been observed that both the stones reach the ground at the same place after [EXP] 7 sec [/EXP] of their projection. Determine difference in their vertical components of initial velocities in [EXP] m/s [/EXP]. [EXP] (g = 9.8 m/s<sup>2</sup>) [/EXP]</div>
<div style=""text-align:center""><img alt=""Image not present"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/ported_image0671024519578.png"" style=""height:240px; vertical-align:middle; width:250px""/></div>
<br/><br/>","<div style=""text-align:justify"">Two stones A and B are projected simultaneously as shown in figure. It has been observed that both the stones reach the ground at the same place after [EXP] 7 sec [/EXP] of their projection. Determine difference in their vertical components of initial velocities in [EXP] m/s [/EXP]. [EXP] (g = 9.8 m/s<sup>2</sup>) [/EXP]</div>
<div style=""text-align:center""><img alt=""Image not present"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/ported_image0671024519578.png"" style=""height:240px; vertical-align:middle; width:250px""/></div>
<br/><br/>","[""g""]","<div style=""text-align:justify"">Two stones [EXP]A[/EXP] and [EXP]B[/EXP] are projected simultaneously as shown in figure. It has been observed that both the stones reach the ground at the same place after [EXP] 7 sec [/EXP] of their projection. Determine difference in their vertical components of initial velocities in [EXP] m/s [/EXP]. [EXP] (g = 9.8 m/s<sup>2</sup>) [/EXP]</div>
<div style=""text-align:center""><img alt=""Image not present"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/ported_image0671024519578.png"" style=""height:240px; vertical-align:middle; width:250px""/></div>
<br/><br/>"
"<div style=""text-align:justify"">From the top of a tower, a stone is thrown up which reaches the ground in time t<sub>1</sub>.  A second stone thrown down with the same speed reaches the ground in a time t<sub>2</sub>.  A third stone released from rest from the same location reaches the ground in a time t<sub>3</sub>.  Then </div>
<br/><br/><br/><img alt=""\frac{1}{{{t_3}}} = \frac{1}{{{t_1}}} + \frac{1}{{{t_2}}}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15099406432022182614.png""/><br/><img alt=""t_3^2 = t_1^2 - t_2^2"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/150994065133143164.png""/><br/><img alt=""{t_3} = \frac{{{t_1} + {t_2}}}{2}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1509940661717187239.png""/><br/><img alt=""{t_3} = \sqrt {{t_1}{t_2}} "" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1509940675699943720.png""/>",1328,0,,False,False,"<div style=""text-align:justify"">From the top of a tower, a stone is thrown up which reaches the ground in time [EXP]t<sub>1</sub>[/EXP].  A second stone thrown down with the same speed reaches the ground in a time [EXP]t<sub>2</sub>[/EXP].  A third stone released from rest from the same location reaches the ground in a time [EXP]t<sub>3</sub>[/EXP].  Then </div>
<br/><br/><br/><img alt=""[EXP]\frac{1}{{{t_3}}} = \frac{1}{{{t_1}}} + \frac{1}{{{t_2}}}[/EXP]"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15099406432022182614.png""/><br/><img alt=""[EXP]t_3^2 = t_1^2 - t_2^2[/EXP]"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/150994065133143164.png""/><br/><img alt=""[EXP]{t_3} = \frac{{{t_1} + {t_2}}}{2}[/EXP]"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1509940661717187239.png""/><br/><img alt=""[EXP]{t_3} = \sqrt {{t_1}{t_2}} [/EXP]"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1509940675699943720.png""/>",,"[""t1"", ""t2"", ""t3""]","<div style=""text-align:justify"">From the top of a tower, a stone is thrown up which reaches the ground in time [EXP]t<sub>1</sub>[/EXP].  A second stone thrown down with the same speed reaches the ground in a time [EXP]t<sub>2</sub>[/EXP].  A third stone released from rest from the same location reaches the ground in a time [EXP]t<sub>3</sub>[/EXP].  Then </div>
<br/><br/><br/><img alt=""\frac{1}{{{t_3}}} = \frac{1}{{{t_1}}} + \frac{1}{{{t_2}}}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15099406432022182614.png""/><br/><img alt=""t_3^2 = t_1^2 - t_2^2"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/150994065133143164.png""/><br/><img alt=""{t_3} = \frac{{{t_1} + {t_2}}}{2}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1509940661717187239.png""/><br/><img alt=""{t_3} = \sqrt {{t_1}{t_2}} "" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1509940675699943720.png""/>"
 Which of the following pairs have same dimensions?<br/><br/><br/>Angular momentum and linear momentum<br/>Work and power<br/><br/>Work and torque<br/><br/>Torque and pressure,1836,0,,False,False,Which of the following pairs have same dimensions?<br/><br/><br/>Angular momentum and linear momentum<br/>Work and power<br/><br/>Work and torque<br/><br/>Torque and pressure,Which of the following pairs have same dimensions?<br/><br/><br/>Angular momentum and linear momentum<br/>Work and power<br/><br/>Work and torque<br/><br/>Torque and pressure,"[""Angular momentum"", ""linear momentum"", ""Work"", ""power"", ""torque""]",Which of the following pairs have same dimensions?<br/><br/><br/>[NAME]Angular momentum[/NAME] and [NAME]linear momentum[/NAME]<br/>[NAME]Work[/NAME] and [NAME]power[/NAME]<br/><br/>[NAME]Work[/NAME] and [NAME]torque[/NAME]<br/><br/>Torque and pressure
  When SO<sub>2</sub> reacts with acidified solution of H<sub>2</sub>S :<br/><br/><br/>Sulphur is precipitated<br/>SO<sub>2</sub> is oxidising agent<br/>H<sub>2</sub>S is reducing agent<br/>SO<sub>2</sub> is reducing agent whereas H<sub>2</sub>S is oxidising agent,4180,0,,False,False,<div>When [EXP]SO<sub>2</sub>[/EXP] reacts with acidified solution of [EXP]H<sub>2</sub>S[/EXP] :<br/><br/><br/>Sulphur is precipitated<br/>[EXP]SO<sub>2</sub>[/EXP] is oxidising agent<br/>[EXP]H<sub>2</sub>S[/EXP] is reducing agent<br/>[EXP]SO<sub>2</sub>[/EXP] is reducing agent whereas [EXP]H<sub>2</sub>S[/EXP] is oxidising agent</div>,,"[""SO2"", ""H2S""]",<div>When [EXP]SO<sub>2</sub>[/EXP] reacts with acidified solution of [EXP]H<sub>2</sub>S[/EXP] :<br/><br/><br/>Sulphur is precipitated<br/>[EXP]SO<sub>2</sub>[/EXP] is oxidising agent<br/>[EXP]H<sub>2</sub>S[/EXP] is reducing agent<br/>[EXP]SO<sub>2</sub>[/EXP] is reducing agent whereas [EXP]H<sub>2</sub>S[/EXP] is oxidising agent</div>
"For a two-body system in absence of external forces, the kinetic energy as measured from ground frame is K<sub>0</sub> and from centre mass frame is K<sub>cm</sub>. Choose the <strong>CORRECT</strong> statement(s) :-
<br/><br/><br/><div style=""text-align:justify"">The kinetic energy as measured from center of mass frame is least</div>
<br/><div style=""text-align:justify"">Only the portion of energy K<sub>cm</sub> can be transformed from one form to another due to internal changes in the system.</div>
<br/><div style=""text-align:justify"">The system always retains at least K<sub>0</sub> – K<sub>cm</sub> amount of kinetic energy as measured from ground frame irrespective of any kind of internal changes in the system.</div>
<br/><div style=""text-align:justify"">The system always retains at least K<sub>cm</sub> amount of kinetic energy as measured from ground frame irrespective of any kind of internal changes in the system.</div>
",286,0,,False,False,"<div>For a two-body system in absence of external forces, the kinetic energy as measured from ground frame is [EXP]K<sub>0</sub>[/EXP] and from centre mass frame is [EXP]K<sub>cm</sub>[/EXP]. Choose the <strong>CORRECT</strong> statement(s) :-<br/><br/><br/><div style=""text-align:justify"">The kinetic energy as measured from center of mass frame is least</div><br/><div style=""text-align:justify"">Only the portion of energy [EXP]K<sub>cm</sub>[/EXP] can be transformed from one form to another due to internal changes in the system.</div><br/><div style=""text-align:justify"">The system always retains at least [EXP]K<sub>0</sub> – K<sub>cm</sub>[/EXP] amount of kinetic energy as measured from ground frame irrespective of any kind of internal changes in the system.</div><br/><div style=""text-align:justify"">The system always retains at least [EXP]K<sub>cm</sub>[/EXP] amount of kinetic energy as measured from ground frame irrespective of any kind of internal changes in the system.</div></div>",,"[""center of mass"", ""kinetic energy"", ""ground frame""]","<div>For a two-body system in absence of external forces, the [NAME]kinetic energy[/NAME] as measured from [NAME]ground frame[/NAME] is [EXP]K<sub>0</sub>[/EXP] and from centre mass frame is [EXP]K<sub>cm</sub>[/EXP]. Choose the <strong>CORRECT</strong> statement(s) :-<br/><br/><br/><div style=""text-align:justify"">The [NAME]kinetic energy[/NAME] as measured from [NAME]center of mass[/NAME] frame is least</div><br/><div style=""text-align:justify"">Only the portion of energy [EXP]K<sub>cm</sub>[/EXP] can be transformed from one form to another due to internal changes in the system.</div><br/><div style=""text-align:justify"">The system always retains at least [EXP]K<sub>0</sub> – K<sub>cm</sub>[/EXP] amount of [NAME]kinetic energy[/NAME] as measured from [NAME]ground frame[/NAME] irrespective of any kind of internal changes in the system.</div><br/><div style=""text-align:justify"">The system always retains at least [EXP]K<sub>cm</sub>[/EXP] amount of [NAME]kinetic energy[/NAME] as measured from [NAME]ground frame[/NAME] irrespective of any kind of internal changes in the system.</div></div>"
"<div style=""text-align:justify"">Which of the following FBD's is correct for the following system :</div>
<div style=""text-align:center""><img src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1510891423phpLxSpsEimage.png"" style=""width:200px""/></div>
<br/><br/><br/><img src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1510891439phpLimI2mimage.png"" style=""height:139px; width:60px""/><br/><img src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1510891478php02Fva6image.png"" style=""height:112px; width:107px""/><br/><img src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1510891503phpQfAhFaimage.png"" style=""height:169px; width:72px""/><br/><img src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1510891524php3zOt65image.png"" style=""height:157px; width:65px""/>",1199,0,,False,False,"<div style=""text-align:justify"">Which of the following FBD's is correct for the following system :</div>
<div style=""text-align:center""><img src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1510891423phpLxSpsEimage.png"" style=""width:200px""/></div>
<br/><br/><br/><img src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1510891439phpLimI2mimage.png"" style=""height:139px; width:60px""/><br/><img src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1510891478php02Fva6image.png"" style=""height:112px; width:107px""/><br/><img src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1510891503phpQfAhFaimage.png"" style=""height:169px; width:72px""/><br/><img src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1510891524php3zOt65image.png"" style=""height:157px; width:65px""/>",,[],"<div style=""text-align:justify"">Which of the following FBD's is correct for the following system :</div>
<div style=""text-align:center""><img src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1510891423phpLxSpsEimage.png"" style=""width:200px""/></div>
<br/><br/><br/><img src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1510891439phpLimI2mimage.png"" style=""height:139px; width:60px""/><br/><img src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1510891478php02Fva6image.png"" style=""height:112px; width:107px""/><br/><img src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1510891503phpQfAhFaimage.png"" style=""height:169px; width:72px""/><br/><img src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1510891524php3zOt65image.png"" style=""height:157px; width:65px""/>"
" <img alt=""Image not present"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/ported_33279962714.png"" style=""vertical-align: middle""/><br/><br/><br/>18<br/>19<br/>25<br/>27",4239,0,,False,False,"<img alt=""Image not present"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/ported_33279962714.png"" style=""vertical-align: middle""/><br/><br/><br/>18<br/>19<br/>25<br/>27","<img alt=""Image not present"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/ported_33279962714.png"" style=""vertical-align: middle""/><br/><br/><br/>18<br/>19<br/>25<br/>27",[],"<img alt=""Image not present"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/ported_33279962714.png"" style=""vertical-align: middle""/><br/><br/><br/>18<br/>19<br/>25<br/>27"
  In which of the following species presence of lone pair does not affect idealized bond angle :<br/><br/><br/>PF<sub>3</sub><br/>BrF<sub>3</sub><br/>ICl<sup>–</sup><sub>4</sub><br/>XeF<sub>2</sub>,1969,0,,False,False,<div> In which of the following species presence of lone pair does not affect idealized bond angle :<br/><br/><br/>[EXP]PF<sub>3</sub>[/EXP]<br/>[EXP]BrF<sub>3</sub>[/EXP]<br/>[EXP]ICl<sup>–</sup><sub>4</sub>[/EXP]<br/>[EXP]XeF<sub>2</sub>[/EXP]</div>,,"[""PF3"", ""BrF3"", ""ICl"", ""XeF2""]",<div> In which of the following species presence of lone pair does not affect idealized bond angle :<br/><br/><br/>[EXP]PF<sub>3</sub>[/EXP]<br/>[EXP]BrF<sub>3</sub>[/EXP]<br/>[EXP]ICl<sup>–</sup><sub>4</sub>[/EXP]<br/>[EXP]XeF<sub>2</sub>[/EXP]</div>
"<div style=""text-align:justify"">A rectangular loop is placed in a uniform magnetic field with the plane of the loop perpendicular to the direction of the field. If a current is made to flow through the loop in the sense shown by the arrows, the field exerts on the loop :-</div>
<div style=""text-align:center""><img src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1507694675phpHNRYKRimage.png"" style=""width:200px""/></div>
<br/><br/><br/>A net force<br/>A net torque<br/>A net force and a net torque<br/>Neither a net force nor a net torque",3438,0,,False,False,"<div style=""text-align:justify"">A rectangular loop is placed in a uniform magnetic field with the plane of the loop perpendicular to the direction of the field. If a current is made to flow through the loop in the sense shown by the arrows, the field exerts on the loop :-</div>
<div style=""text-align:center""><img src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1507694675phpHNRYKRimage.png"" style=""width:200px""/></div>
<br/><br/><br/>A net force<br/>A net torque<br/>A net force and a net torque<br/>Neither a net force nor a net torque","<div style=""text-align:justify"">A rectangular loop is placed in a uniform magnetic field with the plane of the loop perpendicular to the direction of the field. If a current is made to flow through the loop in the sense shown by the arrows, the field exerts on the loop :-</div>
<div style=""text-align:center""><img src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1507694675phpHNRYKRimage.png"" style=""width:200px""/></div>
<br/><br/><br/>A net force<br/>A net torque<br/>A net force and a net torque<br/>Neither a net force nor a net torque","[""magnetic field""]","<div style=""text-align:justify"">A rectangular loop is placed in a uniform [NAME]magnetic field[/NAME] with the plane of the loop perpendicular to the direction of the field. If a current is made to flow through the loop in the sense shown by the arrows, the field exerts on the loop :-</div>
<div style=""text-align:center""><img src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1507694675phpHNRYKRimage.png"" style=""width:200px""/></div>
<br/><br/><br/>A net force<br/>A net torque<br/>A net force and a net torque<br/>Neither a net force nor a net torque"
" <img alt=""Image not present"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/ported_image047588681222.png"" style=""vertical-align: middle""/><br/><br/><br/>1<br/>2<br/>3<br/>4",2437,0,,False,False,"<img alt=""Image not present"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/ported_image047588681222.png"" style=""vertical-align: middle""/><br/><br/><br/>1<br/>2<br/>3<br/>4","<img alt=""Image not present"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/ported_image047588681222.png"" style=""vertical-align: middle""/><br/><br/><br/>1<br/>2<br/>3<br/>4",[],"<img alt=""Image not present"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/ported_image047588681222.png"" style=""vertical-align: middle""/><br/><br/><br/>1<br/>2<br/>3<br/>4"
" <b>Assertion :</b> If thread B is pulled by sudden jerk it will break and mass M
will remain suspended by A.<br/><b>Reason :</b> Insufficient time is given
so inertia of rest of mass M can not be over come<br/><br/><br/>A<br/>B<br/>C<br/>D",2207,0,,False,False,"<b>Assertion :</b> If thread B is pulled by sudden jerk it will break and mass M
will remain suspended by A.<br/><b>Reason :</b> Insufficient time is given
so inertia of rest of mass M can not be over come<br/><br/><br/>A<br/>B<br/>C<br/>D","<b>Assertion :</b> If thread B is pulled by sudden jerk it will break and mass M
will remain suspended by A.<br/><b>Reason :</b> Insufficient time is given
so inertia of rest of mass M can not be over come<br/><br/><br/>A<br/>B<br/>C<br/>D","[""inertia""]","<b>Assertion :</b> If thread [EXP]B[/EXP]is pulled by sudden jerk it will break and mass [EXP]M[/EXP]
will remain suspended by [EXP]A[/EXP].<br/><b>Reason :</b> Insufficient time is given
so [NAME]inertia[/NAME] of rest of mass [EXP]M[/EXP] can not be over come<br/><br/><br/>A<br/>B<br/>C<br/>D"
